Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Свириденко,Віолетта,Тарасівна,Жінка,29.12.1942,Круп'є,село Дергачі,"провулок Яружний, буд. 367, Пологи , 03798",401 43 05,spas91@example.org
Хорішко,Климент,Соломонович,Чоловік,23.06.1990,Паблік рилейшнз,село Куп'янськ,"парк Амундсена, 2-й, буд. 977 кв. 8, Залізне, 81443",040 456-77-52,xarkhymovych@example.com
Якименко,Анастасія,Демʼянівна,Жінка,22.02.1980,Маркетолог,хутір Ясинувата,"набережна Кишинівська, буд. 5, Лебедин, 47151",023 248-24-81,marynachupryna@example.net
Юрченко,Арсен,Лукʼянович,Чоловік,24.05.2005,Лікар,місто Луганськ,"площа Лиманчик 2-й Лінія 9-та, буд. 0, Хотин, 55783",087 900-61-11,hukada@example.com
Жайворон,Леон,Ааронович,Чоловік,01.06.1966,Гицель,селище Глухів,"площа Бернардацці, буд. 5, Славута, 09891",+380 (13) 479-53-57,sahalmarta@example.com
Вівчаренко,Симон,Гаврилович,Чоловік,04.09.1960,Перекладач,селище Залізне,"набережна Степова, буд. 4 кв. 889, Ніжин, 89584",713 68 74,zakhar51@example.org
Яремко,Богодар,Тарасович,Чоловік,24.05.1952,Електрослюсар,хутір Шостка,"вулиця Університетський, буд. 0 кв. 44, Біла Церква, 27097",275-59-29,mbabiuk@example.net
Архимович,Христина,Віталіївна,Жінка,15.10.1977,Педагог,село Немирів,"узвіз Нафтовиків, буд. 599 кв. 019, Суми, 43185",+380 95 457-10-19,solomiia51@example.org
Базилевський,Ярема,Давидович,Чоловік,26.06.1968,Інженер,селище Заліщики,"узвіз Таїрова, буд. 2, Білопілля, 60858",727 06 57,danyloprytula@example.com
Овчаренко,Ярина,Максимівна,Жінка,21.01.1994,Живописець,хутір Ясинувата,"парк Трудова, буд. 8 кв. 84, Верхньодніпровськ, 47404",001 132-31-40,okhrymovychrostyslav@example.net
Дашенко,Володимира,Симонівна,Жінка,04.07.1961,Круп'є,місто Чернівці,"узвіз Зоринська, буд. 7, Зугрес, 49090",053 604-17-35,huzenkomykyta@example.org
Ващенко-Захарченко,Демид,Демидович,Чоловік,15.04.1987,Випробувач,хутір Середина-Буда,"вулиця В’ячеслава Чорновола, буд. 957, Чортків, 74046",059 59 75,alevtyn05@example.net
Акуленко,Оксенія,Романівна,Жінка,16.07.2004,Режисер,місто Пустомити,"провулок Шилова, буд. 28 кв. 81, Узин, 61651",+380 (20) 026-00-17,atroshchenkoerika@example.com
Полтавець,Галина,Артемівна,Жінка,26.01.1970,Правник,хутір Почаїв,"шосе Лютневий 2-й, буд. 40 кв. 6, Олександрівськ, 26328",+380 72 027-96-30,davydenkoklyment@example.org
Абрагамовський,Марко,Єлисейович,Чоловік,31.05.1973,Футболіст,хутір Долинська,"провулок Дальницьке, буд. 09, Гайворон, 77673",+380 07 692-00-48,volodymyrshvachko@example.net
Юрченко,Пріска,Данилівна,Жінка,21.04.1992,Модельєр,село Житомир,"набережна Студентський 2-й, буд. 12, Довжанськ, 56820",021 571 50 09,clahoda@example.org
Гайворонська,Ліза,Богуславівна,Жінка,07.01.1978,Палеонтолог,хутір Кропивницький,"вулиця Восьмого березня 3-й, буд. 195 кв. 5, Бобринець, 11996",+380 38 271-17-89,bohdanierchenko@example.org
Алексюк,Емілія,Панасівна,Жінка,02.06.1942,Машиніст,село Покровськ,"провулок Богуна, буд. 03, Берегове, 77187",673-57-65,viacheslavdanyliuk@example.com
Черненко,Арсен,Алевтинович,Чоловік,22.01.1940,Шериф,село Рудки,"сквер Семінарська, буд. 0 кв. 312, Вінниця, 44835",357 06 44,olesyk@example.net
Шморгун,Софія,Азарівна,Жінка,18.03.1942,Провізор,селище Мерефа,"шосе Зелена балка, буд. 614, Радехів, 25581",+380 (84) 212-23-79,xaleksiichuk@example.com
Абрамчук,Марина,Бориславівна,Жінка,19.06.1947,Доцент,село Волочиськ,"вулиця Флотська, буд. 6 кв. 857, Гайворон, 09608",603-25-28,fshvachka@example.net
Канівець,Едуард,Леонідович,Чоловік,22.02.1956,Маркетолог,селище Яремче,"сквер Пляжна, буд. 701, Мелітополь, 33943",+380 84 302-94-92,maryna42@example.com
Негода,Богуслав,Азарович,Чоловік,31.10.1974,Композитор,селище Іловайськ,"провулок Садова 4-та, буд. 16 кв. 028, Ужгород, 52430",+380 (45) 696-77-71,mhrechko@example.com
Ващук,Анастасія,Леонідівна,Жінка,25.10.1971,Медик,місто Бурштин ,"площа Польова, буд. 73, Баранівка, 41747",+380 (09) 207-42-95,vadymtsybulenko@example.org
Даценко,Роксолана,Сергіївна,Жінка,24.04.1943,Правник,місто Севастополь,"сквер Дворянська, буд. 50, Армянськ, 61258",+380 72 826 46 52,shabliimykhailyna@example.org
Андрієнко,Аліна,Вікторівна,Жінка,22.10.1983,Хімік,селище Мерефа,"набережна Текстильників, буд. 0 кв. 8, Жидачів, 24404",+380 33 706-13-48,prokhir52@example.com
Яковенко,Данна,Орхипівна,Жінка,20.02.2002,Електромонтер,місто Лисичанськ,"парк Тещин міст, буд. 512, Ланівці, 62233",918-42-69,levko69@example.net
Аврамчук,Святослава,Станіславівна,Жінка,05.02.1953,Агроном,селище Южноукраїнськ,"шосе Космонавта Комарова, буд. 09, Червоноград, 72106",690-52-17,ustenkobohodar@example.com
Аврамчук,Лукʼян,Несторович,Чоловік,31.10.1987,Піаніст,село Новомиргород,"сквер Азербайджан, буд. 74 кв. 20, Луцьк, 32218",+380 26 807 89 76,parasiukvioletta@example.com
Верхола,Єва,Феофанівна,Жінка,29.04.1997,Юрист,хутір Тячів,"площа Отамана Чепіги, буд. 22, Ялта, 03328",+380 (39) 936-50-64,oles64@example.org
Юрченко,Ярослав,Стефанович,Чоловік,03.10.1988,Будник,селище Вільнянськ,"шосе Нежданової, буд. 5 кв. 776, Ямпіль, 79303",+380 48 718-02-13,vlokhmartyn@example.org
Медведенко,Володимир,Пилипович,Чоловік,14.04.1943,Детектив,село Мар'їнка,"площа Трудовий, буд. 35, Новодружеськ, 87314",007 692 38 87,zaikaopanas@example.com
Христич,Аркадій,Глібович,Чоловік,23.01.1981,Професор,селище Джанкой,"проспект Комітетська, буд. 505 кв. 3, Острог, 89264",343 62 76,anitavoblyi@example.org
Вдовенко,Роксолана,Соломонівна,Жінка,27.07.1959,Фольклорист,село Родинське,"вулиця Радіо, буд. 3 кв. 0, Сторожинець, 43380",668-43-68,maksymsomko@example.com
Козаченко,Веніямин,Михайлович,Чоловік,31.07.1950,Фотограф,село Вознесенівка,"набережна Монастирський, буд. 116 кв. 536, Маріуполь, 48788",+380 (48) 586-37-54,bshakhrai@example.net
Аронець,Орхип,Адамович,Чоловік,27.04.1962,Громадський діяч,село Городище ,"набережна Лавкова, буд. 91, Львів, 56714",+380 89 121-12-76,vitalii34@example.net
Жук,Леон,Августинович,Чоловік,27.06.1948,Музичний редактор,хутір Шостка,"набережна Степана Олійника узвіз, буд. 6, Балаклія, 60279",+380 32 447-45-47,shtepaandrii@example.net
Дашкевич,Орест,Опанасович,Чоловік,14.01.1991,Біолог,село Хирів,"вулиця Чорноморський 4-й, буд. 938 кв. 8, Городенка, 79411",660-60-99,dverhun@example.org
Швачка,Роксолана,Васильівна,Жінка,05.06.1940,Модельєр,місто Люботин,"площа Зелений, буд. 11, Ічня, 42320",+380 (38) 879-30-21,mykhailo21@example.net
Власюк,Валерій,Ааронович,Чоловік,02.04.1959,Реабілітолог,місто Рудки,"парк Івана Франка, буд. 90, Бобринець, 63924",653-26-39,tokarsviatoslava@example.com
Батуринець,Михайлина,Яремівна,Жінка,10.09.1974,Петрограф,місто Тисмениця,"набережна Васнецова, буд. 8, Куп'янськ, 32358",692-74-69,dnehoda@example.org
